                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5335,                 6.1572,                0.89919,                0.14695,                0.13636,                0.04214,                0.02522,                 1.3018,                 3.1792,                0.84946,              0.0033103,              0.0033103,              0.0033103
                      2,                 1.4264,                  4.449,                0.87542,                0.21457,                 0.2372,                0.11927,                0.07346,                 1.2142,                 2.7029,                0.87264,              0.0066249,              0.0066249,              0.0066249
                      3,                 1.4394,                 3.5691,                0.89345,                0.43656,                0.23104,                0.16093,                0.09071,                 1.3806,                 4.4446,                0.90182,              0.0099206,              0.0099206,              0.0099206
                      4,                 1.4006,                 2.6991,                0.89856,                0.38375,                 0.2523,                0.19818,                0.12057,                 1.2765,                 2.1574,                0.88715,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.3131,                 2.0593,                0.88932,                0.34225,                0.32511,                 0.2438,                0.15539,                 1.1149,                  1.904,                0.86724,              0.0099151,              0.0099151,              0.0099151
                      6,                 1.2281,                 1.8262,                0.87642,                0.31695,                0.32361,                0.25408,                 0.1622,                 1.1125,                 2.0383,                0.86003,              0.0098869,              0.0098869,              0.0098869
                      7,                 1.2092,                 1.7389,                0.86868,                0.50483,                0.33302,                0.31591,                0.20912,                 1.0404,                 1.5969,                0.84863,              0.0098586,              0.0098586,              0.0098586
                      8,                 1.1683,                 1.6348,                0.86549,                0.32049,                0.43151,                0.33385,                0.22643,                 1.0363,                  1.521,                0.84841,              0.0098303,              0.0098303,              0.0098303
                      9,                 1.1563,                 1.6034,                0.85976,                  0.318,                 0.3842,                0.32954,                0.22061,                 1.0246,                 1.5645,                 0.8458,               0.009802,               0.009802,               0.009802
                     10,                 1.1231,                 1.5527,                 0.8545,                0.34333,                0.39734,                 0.3176,                0.21327,                 1.0267,                 1.6193,                0.84625,              0.0097737,              0.0097737,              0.0097737
                     11,                 1.1321,                 1.5388,                0.85226,                0.52266,                0.39175,                0.37154,                0.26127,                0.96828,                 1.3753,                0.83912,              0.0097454,              0.0097454,              0.0097454
                     12,                 1.1098,                  1.486,                0.85008,                0.45333,                0.43182,                0.38932,                0.26996,                0.95546,                 1.3417,                0.83449,              0.0097171,              0.0097171,              0.0097171
                     13,                 1.0922,                 1.4646,                0.84942,                 0.3927,                0.46402,                0.39248,                0.27086,                0.94785,                 1.3339,                0.83539,              0.0096889,              0.0096889,              0.0096889
                     14,                 1.0853,                 1.4291,                0.85106,                0.46787,                0.44026,                0.41552,                0.29457,                0.93651,                 1.2707,                0.83421,              0.0096606,              0.0096606,              0.0096606
                     15,                 1.0727,                 1.4004,                0.84956,                 0.4816,                 0.4502,                0.42517,                0.30203,                0.93611,                   1.25,                0.83191,              0.0096323,              0.0096323,              0.0096323
                     16,                 1.0691,                 1.3897,                0.84494,                0.41627,                0.45045,                0.42148,                0.30069,                0.91702,                 1.2561,                 0.8327,               0.009604,               0.009604,               0.009604
                     17,                 1.0664,                 1.3604,                 0.8433,                0.49297,                0.44131,                0.41806,                0.29029,                0.93976,                 1.3016,                 0.8347,              0.0095757,              0.0095757,              0.0095757
                     18,                 1.0343,                 1.3404,                0.84514,                0.48015,                0.48992,                0.44655,                0.31114,                0.92747,                  1.239,                0.83149,              0.0095474,              0.0095474,              0.0095474
                     19,                 1.0509,                 1.3117,                 0.8424,                0.49259,                0.46291,                0.44084,                 0.3163,                0.91683,                 1.2451,                0.83143,              0.0095191,              0.0095191,              0.0095191
                     20,                 1.0315,                 1.3114,                0.84011,                0.49016,                0.46403,                0.46743,                0.33383,                0.90709,                 1.1857,                0.82993,              0.0094909,              0.0094909,              0.0094909
                     21,                 1.0536,                 1.2907,                0.83964,                0.45946,                0.45583,                0.45211,                 0.3237,                0.90696,                 1.2505,                0.82903,              0.0094626,              0.0094626,              0.0094626
                     22,                 1.0207,                 1.2555,                0.84222,                0.50333,                0.48401,                0.48319,                0.34714,                0.90642,                 1.1719,                0.82644,              0.0094343,              0.0094343,              0.0094343
                     23,                 1.0146,                 1.2308,                0.83484,                0.49786,                0.48994,                 0.4729,                0.34143,                0.89399,                 1.1571,                0.82567,               0.009406,               0.009406,               0.009406
                     24,                 1.0306,                 1.2434,                0.84391,                0.50029,                0.53517,                0.49388,                0.35686,                0.89138,                 1.1377,                 0.8247,              0.0093777,              0.0093777,              0.0093777
                     25,                 1.0037,                 1.2205,                 0.8351,                0.52626,                0.50395,                0.51006,                0.37127,                 0.8772,                 1.0701,                 0.8243,              0.0093494,              0.0093494,              0.0093494
                     26,                 1.0069,                 1.1913,                0.83947,                 0.5539,                0.51638,                0.52791,                0.38169,                0.88181,                 1.0634,                0.82344,              0.0093211,              0.0093211,              0.0093211
                     27,                 1.0103,                 1.1897,                0.83639,                0.54743,                0.50539,                0.51878,                0.37263,                0.88883,                 1.0939,                0.82457,              0.0092929,              0.0092929,              0.0092929
                     28,                 1.0071,                 1.1935,                0.84035,                0.55529,                0.49752,                0.51438,                0.37127,                0.87218,                 1.0898,                0.82185,              0.0092646,              0.0092646,              0.0092646
                     29,                 1.0128,                 1.1633,                0.83303,                 0.5988,                0.50769,                0.54257,                0.39719,                0.86136,                 1.0289,                0.82229,              0.0092363,              0.0092363,              0.0092363
                     30,                 1.0008,                 1.1681,                0.83461,                0.52131,                0.54402,                0.55238,                0.39879,                0.86494,                 1.0151,                0.82341,               0.009208,               0.009208,               0.009208
